Publish date,flygtning,migrant,asylansøg,indvandre,immigrant
2018-05-21/2018-05-27,4,1,2,1,0
2018-05-28/2018-06-03,3,2,1,1,0
2018-06-04/2018-06-10,7,5,5,0,0
2018-06-11/2018-06-17,12,11,3,3,0
2018-06-18/2018-06-24,30,39,12,2,3
2018-06-25/2018-07-01,22,30,10,3,2
2018-07-02/2018-07-08,5,3,7,2,0
2018-07-09/2018-07-15,1,1,0,1,0
2018-07-16/2018-07-22,3,2,2,1,0
2018-07-23/2018-07-29,5,4,1,0,1
2018-07-30/2018-08-05,5,4,3,1,0
2018-08-06/2018-08-12,1,0,0,0,0
2018-08-13/2018-08-19,7,3,1,5,0
2018-08-20/2018-08-26,14,9,5,6,2
2018-08-27/2018-09-02,22,14,10,10,0
2018-09-03/2018-09-09,5,3,2,3,0
2018-09-10/2018-09-16,6,6,1,1,0
2018-09-17/2018-09-23,7,6,0,0,0
2018-09-24/2018-09-30,5,3,3,1,1
2018-10-01/2018-10-07,6,2,3,0,0
2018-10-08/2018-10-14,5,3,1,3,1
2018-10-15/2018-10-21,5,4,3,1,1
2018-10-22/2018-10-28,1,8,0,2,3
2018-10-29/2018-11-04,2,7,4,0,0
2018-11-05/2018-11-11,2,0,1,2,0
2018-11-12/2018-11-18,5,4,4,1,1
2018-11-19/2018-11-25,7,7,5,2,1
2018-11-26/2018-12-02,9,4,5,5,0
2018-12-03/2018-12-09,12,2,2,1,0
2018-12-10/2018-12-16,4,0,3,1,0
2018-12-17/2018-12-23,1,2,0,0,0
2018-12-24/2018-12-30,4,3,2,0,0
2018-12-31/2019-01-06,4,3,1,1,0
2019-01-07/2019-01-13,1,3,0,2,1
2019-01-14/2019-01-20,2,1,0,2,1
2019-01-21/2019-01-27,3,3,1,1,1
2019-01-28/2019-02-03,2,2,2,1,2
2019-02-04/2019-02-10,1,2,0,1,1
2019-02-11/2019-02-17,6,3,5,1,0
2019-02-18/2019-02-24,4,0,1,2,0
2019-02-25/2019-03-03,6,2,3,2,0
2019-03-04/2019-03-10,3,1,0,1,0
2019-03-11/2019-03-17,2,1,0,2,1
2019-03-18/2019-03-24,5,3,0,0,0
2019-03-25/2019-03-31,4,8,1,1,0
2019-04-01/2019-04-07,4,1,1,0,0
2019-04-08/2019-04-14,5,3,1,3,0
2019-04-15/2019-04-21,6,4,3,1,0
2019-04-22/2019-04-28,5,4,3,0,1
2019-04-29/2019-05-05,4,1,2,1,0
2019-05-06/2019-05-12,4,1,0,1,0
2019-05-13/2019-05-19,3,1,1,4,0
2019-05-20/2019-05-26,9,5,4,3,1
2019-05-27/2019-06-02,6,4,5,2,0
2019-06-03/2019-06-09,9,4,5,7,0
2019-06-10/2019-06-16,3,1,0,2,0
2019-06-17/2019-06-23,4,4,1,3,0
2019-06-24/2019-06-30,9,8,1,1,2
2019-07-01/2019-07-07,5,9,1,0,0
2019-07-08/2019-07-14,0,1,0,0,0
2019-07-15/2019-07-21,5,3,1,0,1
2019-07-22/2019-07-28,3,7,3,1,1
2019-07-29/2019-08-04,3,0,2,0,0
2019-08-05/2019-08-11,0,1,0,1,1
2019-08-12/2019-08-18,2,2,0,0,0
2019-08-19/2019-08-25,1,1,0,1,0
