Link,Searchterm
http://dr.dk/nyheder/indland/domstol-bremser-endnu-34-tvangsudsendelser,asylansøg
http://dr.dk/nyheder/indland/kosovoalbaner-skyldig-i-asyldrab,asylansøg
http://dr.dk/nyheder/indland/flygtninge-returneres-igen-til-graekenland,asylansøg
http://dr.dk/nyheder/udland/menneskelig-tragedie-i-athen,asylansøg
http://dr.dk/nyheder/udland/danmark-blandt-de-lande-der-oftest-siger-ja-til-asyl,asylansøg
http://dr.dk/nyheder/indland/amnesty-send-ikke-folk-til-graekenland,asylansøg
http://dr.dk/nyheder/regionale/nordjylland/asylcenter-er-en-realitet-i-rebild,asylansøg
http://dr.dk/nyheder/indland/det-er-haardt-leve-i-uvished,asylansøg
http://dr.dk/nyheder/udland/flere-afghanere-faar-asyl-i-sverige,asylansøg
http://dr.dk/nyheder/indland/graesk-ambassade-taet-paa-humanitaer-krise,asylansøg
http://dr.dk/nyheder/indland/asylpraktik-daekker-over-ulovligt-arbejde,asylansøg
http://dr.dk/nyheder/indland/dansetyve-huserer-i-nattelivet,asylansøg
http://dr.dk/nyheder/indland/danmark-bryder-menneskerettighederne-systematisk,asylansøg
http://dr.dk/nyheder/indland/frikendt-skaffe-job-til-afviste-asylsansoegere,asylansøg
http://dr.dk/nyheder/indland/advokat-retten-i-hilleroed-er-ren-teater,asylansøg
http://dr.dk/nyheder/indland/roede-kors-graesk-asylsystem-brudt-sammen,asylansøg
http://dr.dk/nyheder/udland/norske-asylsoegere-skal-se-homofilm,asylansøg
http://dr.dk/nyheder/indland/asylbureau-doemt-i-byretten,asylansøg
http://dr.dk/nyheder/indland/politiet-undsiger-hurtigere-udvisning,asylansøg
http://dr.dk/nyheder/politik/birthe-roenn-fastholder-asylpolitik,asylansøg
http://dr.dk/nyheder/indland/et-aar-efter-rydningen-af-brorsonskirken,asylansøg
http://dr.dk/nyheder/indland/flygtninge-sendes-til-kraenkelser-i-graekenland,asylansøg
http://dr.dk/nyheder/indland/kirkeasyl-nedlaegger-sig-selv,asylansøg
http://dr.dk/nyheder/politik/fakta-saa-mange-syrere-soeger-om-asyl-i-danmark,asylansøg
http://dr.dk/nyheder/indland/udlaendingestyrelsen-stort-asylpres-lige-nu,asylansøg
http://dr.dk/nyheder/regionale/syd/boom-i-syrere-ved-graensen,asylansøg
http://dr.dk/nyheder/politik/regeringen-presser-gronlaendere,asylansøg
http://dr.dk/nyheder/indland/praesteaktion-irakere-var-ok,asylansøg
http://dr.dk/nyheder/politik/s-vil-stramme-kursen-over-afviste-asylsoegere,asylansøg
http://dr.dk/nyheder/politik/boedskov-vil-tvinge-afviste-somaliere-til-rejse,asylansøg
http://dr.dk/nyheder/politik/k-kriminelle-skal-hurtigere-smides-ud,asylansøg
http://dr.dk/nyheder/indland/derfor-er-de-danske-asylcentre-pressede,asylansøg
http://dr.dk/nyheder/indland/danmark-vil-hente-tvangsudvist-tilbage,asylansøg
http://dr.dk/nyheder/politik/df-stop-alle-asylsoegere-til-danmark,asylansøg
http://dr.dk/nyheder/politik/flygtninge-kan-ryge-ud-og-ind-af-asylcentre,asylansøg
http://dr.dk/nyheder/kultur/festivalgaester-soeger-om-asyl-og-brunch,asylansøg
http://dr.dk/nyheder/indland/roede-kors-vil-hjaelpe-graekenland,asylansøg
http://dr.dk/nyheder/politik/borgmester-i-velhaverkommune-er-rystet-over-nyt-asylcenter,asylansøg
http://dr.dk/nyheder/politik/loekke-vil-rette-op-paa-graesk-asylkaos,asylansøg
http://dr.dk/nyheder/udland/afrikanske-asylsoegere-protesterer-i-israel,asylansøg
http://dr.dk/nyheder/indland/kirkeasyl-i-byretten,asylansøg
http://dr.dk/nyheder/udland/baad-synker-paa-vej-til-australien-13-mennesker-druknet,asylansøg
http://dr.dk/nyheder/udland/den-sigtede-tre-busdrab-er-nok-syg-til-retsmoede,asylansøg
http://dr.dk/nyheder/udland/drabssigtet-buskaprer-skulle-sendes-ud-af-norge-i-dag,asylansøg
http://dr.dk/nyheder/indland/kommunen-truer-sultestrejkende-iranere,asylansøg
http://dr.dk/nyheder/politik/fakta-saadan-faar-syriske-flygtninge-lettere-asyl,asylansøg
http://dr.dk/nyheder/udland/danskere-skal-hjaelpe-torturofre-i-graekenland,asylansøg
http://dr.dk/nyheder/politik/birthe-roenn-aabner-doeren-til-asylkaos,asylansøg
http://dr.dk/nyheder/udland/106-reddet-fra-synkende-flygtningeskib,asylansøg
http://dr.dk/nyheder/udland/australsk-frygt-flere-ofre-fra-asylbaad,asylansøg
http://dr.dk/nyheder/udland/tyske-dommere-italien-daarlig-til-flygtninge,asylansøg
http://dr.dk/nyheder/indland/amnesty-krise-er-ingen-undskyldning-overgreb-paa-flygtninge,asylansøg
http://dr.dk/nyheder/indland/politiet-anholder-mand-raat-sexoverfald,asylansøg
http://dr.dk/nyheder/indland/orkanen-kraever-sit-tredje-doedsoffer,asylansøg
http://dr.dk/nyheder/indland/danmark-hjemsender-ikke-irakiske-flygtninge,asylansøg
http://dr.dk/nyheder/indland/skelet-i-tisvilde-kan-vaere-midaldrende-mand,asylansøg
http://dr.dk/nyheder/politik/boedskov-der-laves-ikke-om-paa-asylreglerne,asylansøg
http://dr.dk/nyheder/politik/regeringen-afviser-svensk-model-syriske-flygtninge,asylansøg
http://dr.dk/nyheder/politik/asylcentret-i-vollsmose-lukkes-foer-tid,asylansøg
http://dr.dk/nyheder/indland/terroranholdt-bliver-loesladt,asylansøg
http://dr.dk/nyheder/indland/mange-asylsoegere-har-ventet-i-over-ti-aar,asylansøg
http://dr.dk/nyheder/indland/oeget-asylpres-er-ikke-regeringens-skyld,asylansøg
http://dr.dk/nyheder/politik/serbien-vil-stoppe-roma-stroem-mod-danmark,asylansøg
http://dr.dk/nyheder/udland/amnesty-kritik-af-graekenland-skubber-flygtninge-tilbage-i-vandet,asylansøg
http://dr.dk/nyheder/indland/birthe-roenn-overrasket-over-manglende-asylkontrol,asylansøg
http://dr.dk/nyheder/indland/afviste-iranere-har-forladt-christiansborg,asylansøg
http://dr.dk/nyheder/indland/haervaerk-mod-integrationsministeriet,asylansøg
http://dr.dk/nyheder/politik/valg/valg2011/df-foreslaar-flere-udlaendingestramninger,asylansøg
http://dr.dk/nyheder/politik/df-justitsministeren-taler-problemerne-ned,asylansøg
http://dr.dk/nyheder/politik/df-vil-sende-flygtninge-hjem,asylansøg
http://dr.dk/nyheder/politik/danmark-vil-ikke-have-asylansoegninger-paa-distancen,asylansøg
http://dr.dk/nyheder/indland/41-anholdt-ved-protest-mod-udvisning,asylansøg
http://dr.dk/nyheder/indland/unge-udvises-efter-tvivlsom-alderstest,asylansøg
http://dr.dk/nyheder/politik/el-boedskov-maa-forklare-sig-om-udvisning-af-syge,asylansøg
http://dr.dk/nyheder/indland/efter-politiet-offentliggjorde-video-tre-maend-anholdt-groft-roeveri,asylansøg
http://dr.dk/nyheder/udland/dom-underminerer-eus-asylsystem,asylansøg
