id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
519;data_gathering;requests;1566424006.732737;-0.8594670295715332;http://dr.dk/nyheder/udland/eu-landes-mistillid-truer-schengen-aftale;https://www.dr.dk/nyheder/udland/eu-landes-mistillid-truer-schengen-aftale;33491;200;True;
520;data_gathering;requests;1566424009.646365;-0.7612788677215576;http://dr.dk/nyheder/udland/libyen-lukker-graensen-til-flere-nabolande;https://www.dr.dk/nyheder/udland/libyen-lukker-graensen-til-flere-nabolande;27751;200;True;
521;data_gathering;requests;1566424012.153885;-0.7692081928253174;http://dr.dk/nyheder/udland/graeske-hoejreekstremister-demonstrerer-i-athen;https://www.dr.dk/nyheder/udland/graeske-hoejreekstremister-demonstrerer-i-athen;34909;200;True;
522;data_gathering;requests;1566424014.7874439;-0.7377431392669678;http://dr.dk/nyheder/udland/cameron-varsler-opgoer-med-menneskeretskonvention;https://www.dr.dk/nyheder/udland/cameron-varsler-opgoer-med-menneskeretskonvention;32472;200;True;
523;data_gathering;requests;1566424017.209156;-0.6500921249389648;http://dr.dk/nyheder/udland/merkel-multikulturelt-tysk-samfund-har-fejlet;https://www.dr.dk/nyheder/udland/merkel-multikulturelt-tysk-samfund-har-fejlet;30189;200;True;
524;data_gathering;requests;1566424020.321386;-0.7231729030609131;http://dr.dk/nyheder/udland/kvinde-forlod-sine-boern-og-blev-oproerer-i-syrien;https://www.dr.dk/nyheder/udland/kvinde-forlod-sine-boern-og-blev-oproerer-i-syrien;32740;200;True;
525;data_gathering;requests;1566424023.387562;-0.6503911018371582;http://dr.dk/nyheder/udland/romney-presser-gingrich-i-afgoerende-debat;https://www.dr.dk/nyheder/udland/romney-presser-gingrich-i-afgoerende-debat;34575;200;True;
526;data_gathering;requests;1566424026.1595168;-0.863450288772583;http://dr.dk/nyheder/udland/25-draebt-i-mexicanske-narkostridigheder;https://www.dr.dk/nyheder/udland/25-draebt-i-mexicanske-narkostridigheder;29840;200;True;
527;data_gathering;requests;1566424029.298505;-0.8007729053497314;http://dr.dk/nyheder/kultur/film/guide-til-guldpalmen-heli;https://www.dr.dk/nyheder/kultur/film/guide-til-guldpalmen-heli;31904;200;True;
528;data_gathering;requests;1566424031.9477959;-0.7519481182098389;http://dr.dk/nyheder/udland/britiske-nationalister-giver-cameron-kloe;https://www.dr.dk/nyheder/udland/britiske-nationalister-giver-cameron-kloe;33942;200;True;
529;data_gathering;requests;1566424034.898486;-0.8085641860961914;http://dr.dk/nyheder/kultur/film/stor-guide-de-dyster-om-palmerne-i-cannes;https://www.dr.dk/nyheder/kultur/film/stor-guide-de-dyster-om-palmerne-i-cannes;71260;200;True;
530;data_gathering;requests;1566424037.8881438;-0.7232892513275146;http://dr.dk/nyheder/udland/hoejspaendt-valgdrama-i-venezuela-gaar-i-gang;https://www.dr.dk/nyheder/udland/hoejspaendt-valgdrama-i-venezuela-gaar-i-gang;33798;200;True;
